Player Name,Total Shots,Shots on Target
Eric Bailly,1,0
Tiemoué Bakayoko,7,3
Mitchel Bakker,1,1
Ridle Baku,12,5
Ridle Baku,0,0
Dilane Bakwa,3,2
Fabián Balbuena,7,2
Keita Baldé,13,8
George Baldock,10,2
Gareth Bale,7,2
Mikel Balenziaga,1,0
Leonardo Balerdi,7,2
Fodé Ballo-Touré,0,0
Botond Balogh,0,0
Abdoulaye Bamba,1,1
Jonathan Bamba,36,12
Robson Bambu,2,1
Patrick Bamford,64,26
Mattia Bani,5,1
Simon Banza,17,7
Antonín Barák,19,7
Federico Barba,5,1
Danilo Barbosa,2,0
Sergio Barcia,0,0
Melvin Bard,2,1
Enis Bardhi,20,10
Phil Bardsley,4,0
Nicolò Barella,19,6
Kike Barja,5,3
Ross Barkley,17,5
Ross Barkley,1,1
Aymen Barkok,12,4
Ashley Barnes,23,8
Harvey Barnes,38,18
Antonio Barragán,4,0
Antonio Barreca,1,1
Leandro Barreiro Martins,6,1
Ander Barrenetxea,14,5
Jacob Barrett Laursen,1,0
Musa Barrow,46,22
Kyle Bartley,6,3
Paolo Bartolomei,4,0
Marc Bartra,11,4
Chris Basham,7,0
Toma Bašić,28,15
Alessandro Bastoni,6,2
Simone Bastoni,8,0
Bastos,0,0
Michy Batshuayi,7,3
Rodrigo Battaglia,8,1
Cristian Battocchio,5,1
Oliver Baumann,0,0
Julian Baumgartlinger,7,4
Christoph Baumgartner,27,10
Jon Bautista,3,1
Paul Baysse,6,1
Noah Joel Sarenren Bazee,0,0
Ihlas Bebou,14,6
Rodrigo Becão,7,1
Sheraldo Becker,31,10
Timo Becker,0,0
Jan Bednarek,5,3
Donny van de Beek,1,1
Valon Behrami,1,1
Brian Behrendt,2,0
Maximilian Beier,0,0
Ishak Belfodil,10,4
Haris Belkebla,4,0
Stefan Bell,0,0
Karim Bellarabi,11,4
Jean-Ricner Bellegarde,16,4
Héctor Bellerín,6,2
Jude Bellingham,13,5
Andrea Belotti,57,20
Fran Beltrán,10,4
Hatem Ben Arfa,23,8
Salim Ben Seghir,0,0
Wissam Ben Yedder,38,10
Ahmad Benali,4,2
Samy Benchama,0,0
Lars Bender,9,0
Sven Bender,1,0
Darío Benedetto,34,12
László Bénes,2,0
Walter Benítez,0,0
Loris Benito,4,0
Sergio Benito,0,0
Bilal Benkhedim,0,0
Djamel Benlamri,0,0
Ismaël Bennacer,8,1
Saïd Benrahma,16,6
Yassine Benrahou,10,2
Ramy Bensebaini,6,2
Josh Benson,2,0
Nabil Bentaleb,0,0
Rodrigo Bentancur,10,3
Christian Benteke,29,11
Karim Benzema,51,16
Domenico Berardi,39,17
Yuri Berchiche,11,3
Álex Berenguer,2,2
Álex Berenguer,20,5
Bartosz Bereszyński,1,0
Jóhann Berg Guðmundsson,7,4
Sander Berge,9,1
Steven Bergwijn,11,2
Valon Berisha,16,2
Bernard,4,2
Federico Bernardeschi,6,4
Bernardo,4,0
Paul Bernardoni,0,0
Juan Bernat,0,0
Dimitry Bertaud,0,0
Ryan Bertrand,5,2
Daniel Bessa,0,0
Bartosz Bialek,6,4
Giulian Biancone,1,0
Ermin Bičakčić,2,1
Pedro Bigas,4,0
El Bilal Touré,10,5
Cristiano Biraghi,13,4
Davide Biraschi,0,0
Yves Bissouma,19,2
Leonardo Bittencourt,29,8
Alejandro Blanco,2,0
Rubén Blanco,0,0
Ludovic Blas,32,10
Jérôme Boateng,4,0
Antonin Bobichon,10,1
Yann Bodiger,0,0
Jean-Paul Boëtius,19,4
Sacha Boey,5,0
Sacha Boey,1,0
Jeremie Boga,14,5
Melayro Bogarde,3,2
Jayden Bogle,7,4
Quentin Boisgard,17,6
Willy Boly,9,3
Giacomo Bonaventura,15,3
Federico Bonazzoli,11,3
Federico Bonazzoli,4,0
Kevin Bonifazi,5,0
Leonardo Bonucci,12,3
Dennis Borkowski,0,0
Sebastiaan Bornauw,6,1
Sven Botman,4,1
Denis Bouanga,44,16
Hicham Boudaoui,6,3
Ryad Boudebouz,9,2
Sofiane Boufal,5,4
Nassim Boujellab,13,5
Farid Boulaya,42,19
Yassine Bounou,0,0
Ismaëlben Boura,2,0
Mehdi Bourabia,8,3
Benjamin Bourigeaud,40,12
Jarrod Bowen,36,7
Dedryck Boyata,8,0
John Boye,9,1
Lucas Boyé,18,7
Can Bozdogan,7,1
Umut Bozok,0,0
Domagoj Bradarić,2,2
Robbie Brady,11,4
Martin Braithwaite,18,7
Julian Brandt,15,5
Darko Brašanac,3,2
Lilian Brassier,0,0
Alvaro Bravo Jiménez,0,0
Claudio Bravo,0,0
Josip Brekalo,33,12
Gleison Bremer,13,4
Joshua Brenet,0,0
Rhian Brewster,11,3
Anthony Briançon,2,1
Jimmy Briand,9,1
Yan Brice Eteki,1,1
Dylan Bronn,9,2
John Brooks,6,1
Daniel Brosinski,5,1
Josh Brownhill,16,1
Marcelo Brozović,17,4
Gastón Brugman,7,2
Juan Brunetta,2,1
Cédric Brunner,3,1
Jacob Bruun Larsen,0,0
Bryan,0,0
Bryan,17,7
Joe Bryan,3,1
Kean Bryan,0,0
Lucas Buadés,0,0
Ante Budimir,19,7
Gianluigi Buffon,0,0
Marius Bülter,11,3
Alessandro Buongiorno,1,0
Esteban Burgos,3,2
Jonathan Burkardt,18,6
Oliver Burke,16,4
Roman Bürki,0,0
Dan Burn,6,0
Patrick Burner,0,0
Patrick Burner,4,1
Maxime Busi,4,1
Sergio Busquets,0,0
David Button,0,0
Oskar Buur,0,0
Marcin Bułka,0,0
Erick Cabaco,1,0
Willy Caballero,0,0
Jimmy Cabot,8,3
Martín Cáceres,5,2
Anthony Caci,3,0
Mathieu Cafaro,33,10
Gary Cahill,1,0
Yannick Cahuzac,2,0
Felipe Caicedo,24,9
Marc-Aurèle Caillard,0,0
Tom Cairney,12,4
Cala,9,3
Arturo Calabresi,0,0
Davide Calabria,11,4
Riccardo Calafiori,0,0
Mattia Caldara,1,0
Luca Caldirola,5,3
Duje Ćaleta-Car,6,2
Hakan Çalhanoğlu,43,12
Fabrizio Caligara,0,0
Daniel Caligiuri,21,10
José Callejón,8,1
Jonathan Calleri,21,7
Dominic Calvert-Lewin,44,24
Dani Calvo,0,0
Mahdi Camara,8,4
Eduardo Camavinga,12,2
José Campaña,12,4
Emre Can,11,3
Sergio Canales,16,4
João Cancelo,11,3
Antonio Candreva,28,9
Ander Capa,8,6
Pierrick Capelle,19,4
Étienne Capoue,0,0
Gianluca Caprari,33,10
Francesco Caputo,24,11
Maxence Caqueret,5,0
Andrea Carboni,1,0
Isaac Carcelen,7,3
Dani Cárdenas,0,0
Irvin Cardona,35,9
Marc Cardona,1,1
Ian Carlo Poveda,5,3
Diego Carlos,11,4
Juan Carlos,3,1
Jonatan Carmona Alamo,1,0
Lionel Carole,1,0
Yannick Carrasco,14,9
Sergio Carreira,2,1
Guido Carrillo,2,1
Andy Carroll,11,1
Dani Carvajal,10,2
William Carvalho,11,6
Casemiro,9,3
Matty Cash,5,1
Kiko Casilla,0,0
Giuseppe Caso,0,0
Moreto Cassamã,6,1
Timothy Castagne,3,2
Koen Casteels,0,0
Jean-Charles Castelletto,5,3
Samu Castillejo,9,3
Gonzalo Castro,20,8
Gaetano Castrovilli,21,11
Danilo Cataldi,2,1
Ivan Cavaleiro,23,9
Edinson Cavani,16,6
Dani Ceballos,6,0
Federico Ceccherini,7,0
Federico Ceccherini,0,0
Zeki Çelik,6,2
Bersant Celina,12,1
Fabien Centonze,11,3
Luca Ceppitelli,3,0
Alberto Cerri,4,1
Sava Cestic,0,0
Julian Chabot,7,2
Fouad Chafik,2,0
Mehdi Chahiri,14,4
Sofian Chakla,1,0
Aníbal Chalá,0,0
Trevoh Chalobah,3,0
Timothy Chandler,1,0
Kwon Chang-hoon,3,0
Gaëtan Charbonnier,23,6
Brendan Chardonnet,9,6
Xavier Chavalerin,6,2
Pape Cheikh Diop,4,0
Chema,1,0
Rayan Cherki,8,3
Denis Cheryshev,18,5
Giorgio Chiellini,1,0
Federico Chiesa,9,1
Federico Chiesa,19,10
Ben Chilwell,12,6
Vlad Chiricheș,9,2
Pedro Chirivella,4,1
Tahith Chong,9,1
Joris Chotard,4,0
Hamza Choudhury,0,0
Mounir Chouiar,17,5
Andreas Christensen,1,0
Samuel Chukwueze,15,5
Darko Churlinov,0,0
Cifu,1,0
Alberto Cifuentes,0,0
Luca Cigarini,9,0
Antonio Cioffi,0,0
Tim Civeja,0,0
Ciaran Clark,5,2
Alexis Claude-Maurice,13,4
Jonathan Clauss,14,6
Carlos Clerc,2,2
Nathaniel Clyne,2,1
Conor Coady,3,0
Marcus Coco,10,0
Coke,4,1
Séamus Coleman,3,3
Ebrima Colley,13,6
Omar Colley,6,2
Lorenzo Colombo,3,1
Racine Coly,0,0
Kingsley Coman,22,6
Daniel Congré,9,2
Aaron Connolly,14,6
Andrea Consigli,0,0
Andrea Conti,0,0
Liam Cooper,7,3
Francis Coquelin,3,0
Sébastien Corchia,11,3
Alex Cordaz,0,0
Iñigo Córdoba,2,0
Jhon Córdoba,27,8
Sergio Córdova,12,1
Andreas Cornelius,15,5
Maxwel Cornet,14,6
Ángel Correa,17,7
Joaquín Correa,16,8
Rober Correa,1,0
Thierry Correia,1,0
Angelo da Costa Júnior,0,0
Danny da Costa,3,0
David Pereira da Costa,0,0
Diego Costa,4,2
Douglas Costa,0,0
Douglas Costa,3,1
Hélder Costa,9,4
Jaume Costa,1,0
Benoît Costil,0,0
Vladimír Coufal,5,1
Kalifa Coulibaly,5,0
Lassana Coulibaly,3,1
Mamadou Coulibaly,2,0
Senou Coulibaly,0,0
Tanguy Coulibaly,14,8
Thibaut Courtois,0,0
Philippe Coutinho,28,9
Nicolas Cozza,0,0
Alessio Cragno,0,0
Aaron Cresswell,10,3
Domenico Criscito,1,1
Bryan Cristante,11,2
Giovanni Crociata,0,0
Juan Cruz Armada,0,0
Juan Cuadrado,8,2
Adrián Cubas,6,3
Sergio Cubero Ezcurra,0,0
Cucho,24,11
Marc Cucurella,18,7
Mickaël Cuisance,7,1
Mickaël Cuisance,0,0
Matheus Cunha,36,16
Giuseppe Cuomo,1,0
Patrick Cutrone,1,0
Patrick Cutrone,3,1
Wylan Cyprien,4,0
Rafael Czichos,3,1
Lennart-Marten Czyborra,1,0
Danilo D'Ambrosio,5,4
Damien Da Silva,15,9
Bryan Dabo,10,1
Moanes Dabour,20,8
Colin Dagba,5,1
Finn Dahmen,0,0
Mahmoud Dahoud,3,0
Stuart Dallas,20,8
Diogo Dalot,4,2
Mikkel Damsgaard,11,3
Flavius Daniliuc,3,0
Danilo,10,2
Scott Dann,5,2
Dante,6,2
Andrea Danzi,1,0
Márton Dárdai,0,0
Vladimír Darida,15,4
Karl Darlow,0,0
Matteo Darmian,0,0
Matteo Darmian,0,0
Jonathan David,25,15
Alphonso Davies,1,1
Ben Davies,2,0
Tom Davies,1,0
Keinan Davis,3,0
Leif Davis,0,0
Paweł Dawidowicz,9,1
Craig Dawson,1,0
Kevin De Bruyne,55,16
Sebastien De Maio,3,1
Rodrigo De Paul,44,9
Mattia De Sciglio,1,0
Mattia De Sciglio,1,0
Lorenzo De Silvestri,10,6
Thibault De Smet,0,0
Lucas Deaux,8,3
Mathieu Debuchy,17,5
Grégoire Defrel,9,4
Alessandro Deiola,5,1
Romain Del Castillo,13,4
Lorenzo Del Pinto,0,0
Thomas Delaine,7,3
Thomas Delaney,4,1
Liam Delap,1,0
Jonathan Delaplace,4,0
Cristian Dell'Orco,1,0
Andy Delort,54,21
Fabian Delph,1,0
Moussa Dembélé,27,8
Ousmane Dembélé,17,7
Merih Demiral,6,1
Kerem Demirbay,15,3
Ermedin Demirović,12,7
Diego Demme,4,2
Jason Denayer,4,1
Leander Dendoncker,22,7
Kevin Denkey,17,8
Stefano Denswil,0,0
Fabio Depaoli,2,1
Fabio Depaoli,0,0
Memphis Depay,51,20
Mike van der Hoorn,4,2
Kastriot Dermaku,0,0
Kiril Despodov,0,0
Sergiño Dest,6,2
Mattia Destro,20,12
Gerard Deulofeu,7,3
Deyverson,12,1
Jacopo Dezi,1,0
Samuel Di Carmine,8,1
Giovanni Di Lorenzo,13,5
Ángel Di María,33,11
Giuseppe Di Serio,4,2
Boulaye Dia,30,13
Abdoulay Diaby,1,0
Moussa Diaby,34,16
Mouctar Diakhaby,6,2
Abdou Diallo,2,0
Habib Diallo,27,12
Habib Diallo,2,0
Ibrahima Diallo,0,0
Ibrahima Diallo,1,0
Grady Diangana,12,5
Stéphane Diarra,2,2
Raphael Dias Belloli,30,11
Raphael Dias Belloli,11,3
Rúben Dias,8,4
Amadou Diawara,2,0
Brahim Díaz,15,3
Víctor Díaz,1,1
Daniel Didavi,11,3
Eric Dier,9,2
Daan Dierckx,0,0
Lucas Digne,3,0
Virgil van Dijk,4,2
Mitchell Dijks,0,0
Javairô Dilrosun,2,0
Federico Dimarco,14,5
Tristan Dingomé,0,0
Eren Dinkci,1,1
Sinaly Diomande,6,1
Lois Diony,14,7
Issa Diop,0,0
Papakouli Diop,7,1
Sofiane Diop,27,10
Yehvann Diouf,0,0
Assane Dioussé,0,0
Axel Disasi,13,4
Tiago Djaló,2,0
Djené,0,0
Moussa Djenepo,9,2
Koffi Djidji,1,0
Alexander Djiku,8,0
Berat Djimsiti,5,0
Marko Dmitrović,1,0
Ritsu Doan,31,8
Mihai Dobre,5,0
Matt Doherty,1,1
Jeremy Doku,13,2
Kasper Dolberg,13,8
Keagan Dolly,4,0
Jaume Doménech,0,0
Nicolás Domínguez,10,3
John Donald,0,0
Ji Dong-won,0,0
Anastasios Donis,1,0
Gianluigi Donnarumma,0,0
Gabriel Dos Santos,10,3
Bas Dost,14,7
Lucas Douath,4,0
Abdoulaye Doucouré,13,4
Cheick Doucouré,15,2
Fodé Doucouré,3,2
Idrissa Doumbia,1,0
Moussa Doumbia,7,0
Souleyman Doumbia,5,1
Aleksandar Dragović,2,2
Bartłomiej Drągowski,0,0
Denis Drăguș,3,0
Radu Drăgușin,0,0
Mouhamadou Drammeh,0,0
Julian Draxler,6,3
Dominick Drexler,4,2
Matthieu Dreyer,0,0
Domingos Duarte,3,1
Léo Duarte,0,0
Óscar Duarte,2,2
Rubén Duarte,7,0
Leo Dubois,10,1
Ondrej Duda,17,7
Haris Duljević,6,2
Paul Dummett,0,0
Alfred Duncan,1,0
Alfred Duncan,0,0
Lewis Dunk,13,4
Jimmy Dunne,3,1
Erik Durm,11,2
Jean-Kevin Duverne,9,1
Paulo Dybala,29,7
Edin Džeko,40,17
Eric Junior Dina Ebimbe,29,7
Steeve-Mike Ebongue,0,0
Enzo Ebosse,0,0
Bruno Ecuele Manga,15,3
Simone Edera,3,1
Ederson,0,0
Kyle Edwards,2,1
John Egan,7,0
Johannes Eggestein,0,0
Maximilian Eggestein,14,4
Lilian Egloff,0,0
Kingsley Ehizibue,1,0
Albin Ekdal,12,3
Hugo Ekitike,3,1
Niclas Eliasson,14,6
Elif Elmas,5,3
Ahmed Elmohamady,2,0
Mohamed Elneny,4,0
Aritz Elustondo,4,0
Nico Elvedi,6,2
Rodrigo Ely,3,2
Sepe Elye Wahi,2,1
Breel Embolo,30,13
Emerson,5,0
Manu Emmanuel Gyabuaa,0,0
Renaud Emond,6,4
Alan Empereur,1,0
Youssef En-Nesyri,32,14
Keita Endo,4,3
Wataru Endo,13,8
Sergi Enrich,11,2
Christian Eriksen,5,1
Martin Erlic,3,0
Patrick Erras,0,0
Gonzalo Escalante,3,1
Dani Escriche,0,0
Sergio Escudero,3,1
Alfonso Espino,4,2
Esquerdo,1,0
Nahuel Estévez,14,6
Pervis Estupiñán,8,3
Xabier Etxeita,3,0
Jonny Evans,3,1
Edu Expósito,20,5
Valentin Eysseric,2,2
Eberechi Eze,18,7
Łukasz Fabiański,0,0
Fabinho,3,0
Fábio,7,1
Cesc Fàbregas,8,2
Bandiougou Fadiga,1,1
Wout Faes,6,1
Ralf Fährmann,0,0
Romain Faivre,38,15
Fali,4,1
Iago Falque,5,1
Andri Fannar Baldursson,1,0
Paolo Faragò,3,0
Davide Faraoni,10,2
Mohamed Fares,2,1
Diego Farias,13,5
Wuilker Faríñez,0,0
Ansu Fati,14,7
Julien Faussurier,3,0
Andrea Favilli,12,4
Nabil Fekir,46,10
Felipe,5,0
Luiz Felipe,3,0
Ohis Felix Uduokhai,4,2
João Félix,23,6
Zinedine Ferhat,24,9
Bruno Fernandes,53,21
Edimilson Fernandes,10,3
Aitor Fernández,0,0
Álex Fernández,7,1
Álvaro Fernández,0,0
Andrés Fernández,0,0
Augusto Fernández,0,0
Carlos Fernández,2,1
Federico Fernández,1,1
Joaquín Fernández,4,1
Fernandinho,7,1
Fernando,1,0
Alex Ferrari,0,0
David Ferreiro,16,9
Salvador Ferrer,1,0
Jordan Ferri,3,1
Fidel,5,2
Sam Field,0,0
Alfreð Finnbogason,9,6
Roberto Firmino,43,16
Junior Firpo,0,0
John Fleck,9,2
Alessandro Florenzi,17,7
Kingsley Fobi,0,0
Phil Foden,19,7
Mamadou Fofana,2,0
Seko Fofana,10,2
Wesley Fofana,6,0
Wesley Fofana,2,0
Youssouf Fofana,19,3
Thomas Foket,2,1
Ramón Folch,0,0
Lamine Fomba,9,4
Thomas Fontaine,2,1
José Fontán,4,3
José Fonte,12,4
Fernando Forestieri,7,1
Pablo Fornals,25,7
Emil Forsberg,18,5
Fraser Forster,0,0
Philipp Förster,8,3
Steven Fortes,2,0
Timothy Fosu-Mensah,1,0
Daam Foulon,1,0
Dimitri Foulquier,3,1
Juan Foyth,0,0
Gianluca Frabotta,4,2
Raphael Framberger,1,1
Ryan Fraser,2,1
Fred,8,1
Ryan Fredericks,1,1
Remo Freuler,11,1
Marco Friedl,6,1
Marvin Friedrich,14,5
Jorge de Frutos,12,6
Christian Fuchs,4,0
Angelo Fulgini,32,13
Niclas Füllkrug,11,5
Ramiro Funes Mori,0,0
Darnell Furlong,14,3
Baptiste Gabard,0,0
Matteo Gabbia,5,0
Manolo Gabbiadini,3,1
Mijat Gaćinović,6,1
Roberto Gagliardini,12,3
Riccardo Gagliolo,10,1
Andrey Galabinov,5,3
Javi Galán,1,0
Conor Gallagher,19,6
Enric Gallego,10,3
Kévin Gameiro,7,4
Idrissa Gana Gueye,14,6
Ignatius Ganago,23,11
Borja García,13,2
Dani García,3,1
David García,10,1
Eric García,1,0
Manu García,5,0
Raúl García,3,3
Raúl García,22,3
Rubén García,17,6
Sergi García,0,0
Unai García,1,0
Mario Gaspar,9,3
Dwight Gayle,3,1
Yann Gboho,7,3
David de Gea,0,0
Christian Gebauer,4,2
Theodor Gebre Selassie,8,4
Dennis Geiger,7,3
Christian Gentner,1,0
Yannick Gerhardt,13,5
Valère Germain,3,3
Gervinho,18,5
Willem Geubbels,5,1
Hamadi Al Ghaddioui,0,0
Anwar El Ghazi,25,14
Paolo Ghiglione,9,2
Faouzi Ghoulam,1,0
Kieran Gibbs,1,0
Morgan Gibbs-White,0,0
Niko Gießelmann,1,0
Rafał Gikiewicz,0,0
David Gil,0,0
Billy Gilmour,0,0
Álvaro Giménez,5,2
Daniel Ginczek,3,0
Matthias Ginter,10,5
Andrei Girotto,18,5
Olivier Giroud,19,6
Kamil Glik,12,4
Serge Gnabry,31,14
Ben Godfrey,1,1
Diego Godín,3,1
Akaki Gogia,2,2
Amer Gojak,2,1
Edoardo Goldaniga,2,0
Vladimir Golemić,4,2
Pierluigi Gollini,0,0
Aleksandr Golovin,8,3
Tomislav Gomelt,0,0
André Gomes,4,0
Dani Gómez,18,5
Joe Gomez,0,0
Maxi Gómez,27,15
Moi Gómez,10,3
Papu Gómez,29,12
Sergi Gómez,0,0
Sergio Gómez,5,1
Alfred Gomis,0,0
Alfred Gomis,0,0
Maxime Gonalons,2,1
Vagner Gonçalves,4,1
Alfonso González,1,1
Álvaro González,8,1
Bruno González,4,2
Diego González,2,1
Nicolás González,34,8
Sergio González,1,0
Urko González,0,0
Anthony Gordon,0,0
Leon Goretzka,18,7
Andoni Gorosabel,5,0
Robin Gosens,22,8
Amine Gouiri,44,18
Jeffrey Gouweleeuw,1,1
Jonathan Gradit,1,0
Karlan Grant,15,8
Alberto Grassi,4,2
Andrew Gravillon,6,2
Demarai Gray,1,0
Adrian Grbić,19,7
Jack Grealish,39,12
Mason Greenwood,19,5
Michael Gregoritsch,13,3
Clément Grenier,12,6
Sebastian Griesbeck,4,1
Antoine Griezmann,36,17
Vincenzo Grifo,30,19
Florian Grillitsch,11,4
Christian Groß,3,0
Pascal Groß,8,1
Kamil Grosicki,3,0
Ilia Gruev,0,0
Carlos Gruezo,10,0
Vicente Guaita,0,0
Andrés Guardado,0,0
Sergi Guardiola,18,4
Nemanja Gudelj,4,1
Gonçalo Guedes,18,7
Mattéo Guendouzi,10,5
Raphaël Guerreiro,20,9
Evann Guessand,1,1
Kelyan Guessoum,1,0
Ander Guevara,2,0
Lamine Gueye,27,10
Pape Gueye,5,1
John Guidetti,1,0
Josuha Guilavogui,3,0
Hugo Guillamón,4,1
Bruno Guimarães,15,8
Sehrou Guirassy,17,7
Péter Gulácsi,0,0
Manuel Gulde,7,4
Robert Gumny,2,1
İlkay Gündoğan,20,7
Christian Günter,12,2
Koray Günter,2,1
Jon Guridi,4,1
Raúl Guti,9,3
Marcos Mauro López Gutiérrez,2,1
Emanuel Gyasi,15,10
Janik Haberer,0,0
Alexander Hack,6,1
Antwoine Hackford,1,0
Munir El Haddadi,22,6
André Hahn,14,6
Amadou Haidara,19,5
Massadio Haïdara,5,1
Achraf Hakimi,19,10
Erling Håland,41,20
Sébastien Haller,25,11
Marcel Halstenberg,4,1
Pierre-Yves Hamel,22,8
Romain Hamouma,22,11
Samir Handanović,0,0
Lukáš Haraslín,5,3
Amine Harit,6,1
Rekeem Harper,1,1
Jack Harrison,25,6
Marcel Hartel,18,6
Makoto Hasebe,1,1
Hans Hateboer,21,11
Kortney Hause,3,1
Kai Havertz,10,4
Isaac Hayden,7,1
Eden Hazard,5,2
Thorgan Hazard,3,2
Jonas Hector,5,2
Michael Hector,1,0
Hwang Hee-chan,3,1
Ahmed Hegazi,0,0
Dominique Heintz,3,1
Dean Henderson,0,0
Jordan Henderson,12,3
Jeff Hendrick,8,2
Benjamin Henrichs,3,1
Dalbert Henrique,2,0
Eduardo Henrique,4,1
Luis Henrique,1,0
Christophe Hérelle,2,0
Jérôme Hergault,0,0
Mario Hermoso,8,2
Aridane Hernández,1,0
Lucas Hernández,3,1
Pablo Hernández,8,1
Theo Hernández,21,9
Hernani,13,3
Ander Herrera,14,3
Héctor Herrera,1,0
Sergio Herrera,0,0
Yangel Herrera,17,5
Patrick Herrmann,18,7
Pablo Hervías,9,4
Përparim Hetemaj,6,2
Son Heung-min,34,19
Aaron Hickey,3,1
Vitorino Hilton,4,2
Martin Hinteregger,12,1
Marwin Hitz,0,0
Wesley Hoedt,2,0
Ki-Jana Hoever,0,0
Nicolas Höfler,5,2
Jonas Hofmann,13,6
Marco Höger,0,0
Rob Holding,11,2
Lucas Höler,26,6
Mason Holgate,4,2
Jordan Holsgrove,1,0
Franck Honorat,17,13
Matthew Hoppe,11,5
Jannes Horn,1,1
Timo Horn,0,0
Fraser Hornby,2,1
Conor Hourihane,5,2
Lukáš Hrádecký,0,0
Ajdin Hrustic,1,1
Florian Hübner,3,1
Callum Hudson-Odoi,9,3
Mats Hummels,13,8
Adrien Hunou,18,9
Elseid Hysaj,5,0
Pierre Højbjerg,8,3
Simone Iacoponi,4,2
Iago,4,1
Roger Ibanez,8,2
Vedad Ibišević,2,0
Vicente Iborra,3,0
Didier Ibrahim Ndong,2,1
Zlatan Ibrahimović,35,15
Mauro Icardi,16,7
Oussama Idrissi,0,0
Odion Ighalo,0,0
Borja Iglesias,6,1
Juan Iglesias,1,0
